candidate_key,source_row_sha256,primary_decision,primary_proposed_record_type,primary_reason_code,primary_reason,primary_reviewer,batch_id,retained_candidate_key
PMID:40806930,4d2db0edcd0c98a6f970fcaf41fd007db939b835b668fe93f9379a0291df5faf,exclude,,X_DESCRIPTIVE_ONLY,"This narrative review summarizes global syphilis trends, disparities, and surveillance gaps without developing or evaluating a reusable surveillance or analytic method.",codex-sol-high-wave2-primary-012,W02-BATCH-012,
PMID:40817800,062754791a189026955958eec39fd787b280deb34d6069b3cdcca83a9dab5fcf,include_method_source_lead,method_source,I_METHOD_SOURCE,"This study develops and cross-validates an imputation, evolutionary-sampling, optimization, and random-forest framework for dengue outbreak prediction.",codex-cli-task5-fix3-reader-a-019f8295-af04-7472-9cea-3fd79d923973,W02-BATCH-012,
PMID:40823216,65b44ba3e1aabeda534676573d489dc4135584b78dc881154b4f998d84ce2131,include_applied_seed,applied_seed,I_APPLIED_TRANSFERABLE_DESIGN,"This study uses pre-post surveillance comparisons and age stratification to assess vaccine impact, indirect protection, and serotype replacement.",codex-cli-task5-fix3-reader-a-019f8295-af04-7472-9cea-3fd79d923973,W02-BATCH-012,
PMID:40828782,d652fae9423ba4794e674ca158864800353d283c7f68760fee42dbfd2a31f130,include_diagnostic_or_correction_lead,diagnostic,I_DIAGNOSTIC_CORRECTION,This study compares registry and survey measurements to quantify misclassification of HIV transmission modes caused by stigmatized underreporting.,codex-cli-task5-fix3-reader-a-019f8295-af04-7472-9cea-3fd79d923973,W02-BATCH-012,
PMID:40835780,011224c843118e7cd645992be7027912e58b3edd291f2d12d9d056bece5eace7,exclude,,X_NOT_INFECTIOUS_TRANSFERABLE,This small retrospective study describes gastrointestinal symptoms in a neurological syndrome and does not provide a concrete infectious-disease method transfer route.,codex-sol-high-wave2-primary-012,W02-BATCH-012,
PMID:40836742,8892b28793708a5fbb4c8e1cac55674fc0518e9386994d4f5e3a10ee558db501,exclude,,X_DESCRIPTIVE_ONLY,This single histoplasmosis case illustrates an unusual clinical presentation without contributing a transferable epidemiologic or surveillance design.,codex-sol-high-wave2-primary-012,W02-BATCH-012,
PMID:40840955,ac4b96f733c0f37a702effa5408a8cb9f0a922c7b5eb3974f97206cd85df1595,exclude,,X_NOT_INFECTIOUS_TRANSFERABLE,The review concerns a noninfectious transfusion complication and supplies no concrete route for transferring its content to infectious-disease epidemiology.,codex-sol-high-wave2-primary-012,W02-BATCH-012,
PMID:40842435,fc06e294fd93d2cc587e43d0c5af03b4bcc648bfe4d8e74db802979f19915d7e,include_diagnostic_or_correction_lead,diagnostic,I_DIAGNOSTIC_CORRECTION,"This review compares dengue diagnostic-test sensitivity, specificity, and study quality to guide diagnosis in resource-limited settings.",codex-cli-task5-fix3-reader-a-019f8295-af04-7472-9cea-3fd79d923973,W02-BATCH-012,
PMID:40845796,4a3c11804aabfaedf070feab3ecedd05ae6b3c8b8791dbd31b29f49a0ce02119,include_applied_seed,applied_seed,I_APPLIED_TRANSFERABLE_DESIGN,"This pilot implementation study evaluates the feasibility, timeliness, acceptability, and reporting yield of a smartphone vaccine-safety surveillance intervention.",codex-cli-task5-fix3-reader-a-019f8295-af04-7472-9cea-3fd79d923973,W02-BATCH-012,
PMID:40858338,ac21d6a55e9236be2d7ac9fd929e2cea7c89519ecfde8c974a25a2641a55b0a2,include_diagnostic_or_correction_lead,guidance,I_DIAGNOSTIC_CORRECTION,"This review develops a staged risk-management framework and extracts surveillance, reporting, tracing, and legal-management guidance from China's mpox response.",codex-cli-task5-fix3-reader-a-019f8295-af04-7472-9cea-3fd79d923973,W02-BATCH-012,
