concept_label,canonical_name,family
controlled_interrupted_time_series,Controlled interrupted time series,causal_policy
heterogeneity_robust_staggered_did,Heterogeneity-robust staggered difference-in-differences,causal_policy
instrumental_variables,Instrumental-variable designs,causal_policy
interrupted_time_series,Interrupted time series and segmented regression,causal_policy
difference_in_differences_event_study,Legacy difference-in-differences and event-study designs,causal_policy
marginal_structural_models,Marginal structural models and inverse-probability weighting,causal_policy
negative_controls,Negative-control designs,causal_policy
quasi_experimental_policy_evaluation,Other quasi-experimental policy-evaluation designs,causal_policy
parametric_g_formula,Parametric g-formula and g-computation,causal_policy
regression_discontinuity,Regression discontinuity designs,causal_policy
synthetic_control,Synthetic control methods,causal_policy
target_trial_emulation,Target-trial emulation,causal_policy
targeted_learning_tmle,Targeted learning and targeted maximum-likelihood estimation,causal_policy
triangulation_cross_system,Cross-system triangulation,evidence_synthesis
denominator_population_sensitivity,Denominator and population-at-risk sensitivity,evidence_synthesis
hierarchical_borrowing,Hierarchical and dynamic borrowing,evidence_synthesis
modelled_observed_triangulation,Modelled-versus-observed evidence triangulation,evidence_synthesis
evidence_robustness_methods,Other evidence-synthesis and robustness methods,evidence_synthesis
outcome_definition_sensitivity,Outcome-definition sensitivity analysis,evidence_synthesis
specification_curve_multiverse,Specification-curve and multiverse analysis,evidence_synthesis
systematic_review_meta_analysis,Systematic-review and meta-analysis methods,evidence_synthesis
transportability_generalizability,Transportability and generalizability methods,evidence_synthesis
algorithmic_outbreak_detection_and_early_warning,Algorithmic outbreak detection and early-warning surveillance,forecasting_dynamics
applied_reproduction_number_surveillance,Applied reproduction-number estimation and transmissibility surveillance,forecasting_dynamics
changepoint_detection,Change-point detection,forecasting_dynamics
early_warning_signals,Early-warning signals,forecasting_dynamics
empirical_reproduction_number_surveillance,Empirical reproduction-number estimation and surveillance analyses,forecasting_dynamics
ensemble_forecasting,Ensemble forecasting,forecasting_dynamics
forecast_calibration_evaluation,Forecast calibration and evaluation,forecasting_dynamics
genomic_outbreak_detection,Genomic outbreak detection,forecasting_dynamics
genomic_outbreak_detection_and_source_tracing,Genomic outbreak detection and source tracing,forecasting_dynamics
reproduction_number_control_planning_models,Intervention and control planning models using reproduction numbers,forecasting_dynamics
intervention_counterfactual_reproduction_analysis,Intervention and counterfactual analysis using reproduction metrics,forecasting_dynamics
machine_learning_forecasting,Machine-learning forecasting,forecasting_dynamics
mechanistic_statistical_hybrids,Mechanistic-statistical hybrid models,forecasting_dynamics
molecular_typing_and_genomic_surveillance,Molecular typing and genomic surveillance,forecasting_dynamics
forecasting_dynamics_models,Other infectious-disease forecasting and dynamics models,forecasting_dynamics
