concept_label,canonical_name,family
applied_randomized_intervention_studies,Applied randomized intervention studies,causal_policy
controlled_interrupted_time_series,Controlled interrupted time series,causal_policy
heterogeneity_robust_staggered_did,Heterogeneity-robust staggered difference-in-differences,causal_policy
instrumental_variables,Instrumental-variable designs,causal_policy
interrupted_time_series,Interrupted time series and segmented regression,causal_policy
difference_in_differences_event_study,Legacy difference-in-differences and event-study designs,causal_policy
marginal_structural_models,Marginal structural models and inverse-probability weighting,causal_policy
negative_controls,Negative-control designs,causal_policy
observational_effect_estimation_studies,Observational effect-estimation studies,causal_policy
quasi_experimental_policy_evaluation,Other quasi-experimental policy-evaluation designs,causal_policy
parametric_g_formula,Parametric g-formula and g-computation,causal_policy
population_burden_and_control_metric_estimation,Population-burden and control-metric estimation studies,causal_policy
predictive_model_and_biomarker_development,Predictive-model and biomarker development studies,causal_policy
regression_discontinuity,Regression discontinuity designs,causal_policy
synthetic_control,Synthetic control methods,causal_policy
target_trial_emulation,Target-trial emulation,causal_policy
targeted_learning_tmle,Targeted learning and targeted maximum-likelihood estimation,causal_policy
triangulation_cross_system,Cross-system triangulation,evidence_synthesis
denominator_population_sensitivity,Denominator and population-at-risk sensitivity,evidence_synthesis
external_validity_generalizability_assessment,External-validity and generalizability assessment studies,evidence_synthesis
hierarchical_borrowing,Hierarchical and dynamic borrowing,evidence_synthesis
modelled_observed_triangulation,Modelled-versus-observed evidence triangulation,evidence_synthesis
evidence_robustness_methods,Other evidence-synthesis and robustness methods,evidence_synthesis
outcome_definition_sensitivity,Outcome-definition sensitivity analysis,evidence_synthesis
review_guideline_and_contextual_methods,"Review, guideline, and contextual-methods studies",evidence_synthesis
specification_curve_multiverse,Specification-curve and multiverse analysis,evidence_synthesis
systematic_review_meta_analysis,Systematic-review and meta-analysis methods,evidence_synthesis
transportability_generalizability,Transportability and generalizability methods,evidence_synthesis
changepoint_detection,Change-point detection,forecasting_dynamics
early_warning_signals,Early-warning signals,forecasting_dynamics
ensemble_forecasting,Ensemble forecasting,forecasting_dynamics
forecast_calibration_evaluation,Forecast calibration and evaluation,forecasting_dynamics
machine_learning_forecasting,Machine-learning forecasting,forecasting_dynamics
mechanistic_statistical_hybrids,Mechanistic-statistical hybrid models,forecasting_dynamics
forecasting_dynamics_models,Other infectious-disease forecasting and dynamics models,forecasting_dynamics
outbreak_anomaly_detection,Outbreak and anomaly detection,forecasting_dynamics
renewal_reproduction_number_models,Renewal models and reproduction-number estimation,forecasting_dynamics
time_series_forecasting,Statistical time-series forecasting,forecasting_dynamics
agent_based_models,Agent-based and individual-based models,simulation_methods
applied_policy_intervention_simulation,Applied policy and intervention simulation studies,simulation_methods
benchmark_metric_and_threshold_development,Benchmark-metric and threshold-development studies,simulation_methods
estimator_operating_characteristics,Estimator operating-characteristic simulation studies,simulation_methods
mechanistic_compartmental_models,Mechanistic compartmental transmission models,simulation_methods
microsimulation_decision_analytic_models,Microsimulation and decision-analytic models,simulation_methods
simulation_methodological_evaluation,Other simulation-based methodological evaluation,simulation_methods
quality_surveillance_benchmarking,"Quality, surveillance, and risk-standardized benchmarking",simulation_methods
simulation_method_comparison,Simulation-based method comparison and benchmarking,simulation_methods
simulation_model_calibration_inference,Simulation-model calibration and inference,simulation_methods
structural_bias_sensitivity_simulation,Structural-bias and quantitative-bias simulation,simulation_methods
synthetic_data_benchmarking,Synthetic-data and benchmark designs,simulation_methods
bayesian_spatiotemporal_models,Bayesian spatiotemporal disease models,spatial_transmission
contact_network_models,Contact-network transmission models,spatial_transmission
descriptive_spatial_clustering,Descriptive spatial and space-time clustering,spatial_transmission
ecological_niche_species_distribution,Ecological-niche and species-distribution models,spatial_transmission
endemic_epidemic_models,Endemic-epidemic spatiotemporal models,spatial_transmission
genomic_epidemiology_transmission,Genomic epidemiology and transmission reconstruction,spatial_transmission
gravity_radiation_mobility_models,"Gravity, radiation, and mobility models",spatial_transmission
metapopulation_models,Metapopulation transmission models,spatial_transmission
spatial_transmission_models,Other spatial-transmission models,spatial_transmission
phylogeography_genomic_diffusion,Phylogeography and genomic diffusion,spatial_transmission
self_exciting_point_processes,Self-exciting spatiotemporal point processes,spatial_transmission
border_discontinuity_designs,Spatial border-discontinuity designs,spatial_transmission
spatial_diffusion_models,Spatial diffusion and spread models,spatial_transmission
spatial_regression_geostatistics,Spatial regression and geostatistical models,spatial_transmission
capture_recapture,Capture-recapture estimation,surveillance_measurement
diagnostic_assay_validation_and_yield_comparison,Diagnostic assay validation and yield-comparison studies,surveillance_measurement
diagnostic_accuracy_calibration,Diagnostic-accuracy and test-calibration methods,surveillance_measurement
healthcare_surveillance_benchmarking,Healthcare surveillance and performance benchmarking,surveillance_measurement
latent_class_models,Latent-class measurement models,surveillance_measurement
measurement_error_models,Measurement-error and misclassification models,surveillance_measurement
multiple_system_estimation,Multiple-system estimation,surveillance_measurement
observation_process_models,Observation-process and detection models,surveillance_measurement
surveillance_measurement_designs,Other surveillance-measurement designs,surveillance_measurement
preferential_sampling,Preferential-sampling models,surveillance_measurement
reporting_delay_nowcasting,Reporting-delay adjustment and nowcasting,surveillance_measurement
sentinel_surveillance_calibration,Sentinel-surveillance calibration,surveillance_measurement
syndromic_surveillance,Syndromic-surveillance methods,surveillance_measurement
