concept_label,canonical_name,family
adaptive_multi_arm_multi_stage_cluster_randomized_trial,Adaptive multi-arm multi-stage cluster randomized trial,causal_policy
bayesian_data_fusion_for_pooled_sampling_prevalence,Bayesian data fusion for pooled-sampling prevalence,causal_policy
bridged_treatment_comparison_data_fusion,Bridged treatment comparison via data fusion,causal_policy
cluster_randomized_intervention_trials,Cluster-randomized intervention trial designs,causal_policy
comparative_policy_impact_cohort,Comparative policy-impact cohort evaluation,causal_policy
comparative_screening_priority_risk_assessment,Comparative screening-priority risk assessment,causal_policy
controlled_interrupted_time_series,Controlled interrupted time series,causal_policy
heterogeneity_robust_staggered_did,Heterogeneity-robust staggered difference-in-differences,causal_policy
hidden_population_size_estimation,Hidden-population size estimation,causal_policy
population_size_estimation_hidden_populations,Hidden-population size estimation,causal_policy
instrumental_variables,Instrumental-variable designs,causal_policy
integrated_public_health_intelligence_synthesis,Integrated public-health-intelligence synthesis,causal_policy
interrupted_time_series,Interrupted time series and segmented regression,causal_policy
difference_in_differences_event_study,Legacy difference-in-differences and event-study designs,causal_policy
marginal_structural_models,Marginal structural models and inverse-probability weighting,causal_policy
multisource_epidemic_risk_framework,Multi-source epidemic-risk assessment framework,causal_policy
multisource_ml_risk_assessment,Multi-source machine-learning risk assessment,causal_policy
multimodal_ml_disease_diagnosis,Multimodal machine-learning disease diagnosis,causal_policy
negative_controls,Negative-control designs,causal_policy
nlp_policy_and_literature_mapping,NLP-based policy and literature mapping,causal_policy
quasi_experimental_policy_evaluation,Other quasi-experimental policy-evaluation designs,causal_policy
parametric_g_formula,Parametric g-formula and g-computation,causal_policy
policy_text_mining_evaluation,Policy text mining and quantitative evaluation,causal_policy
pragmatic_cluster_randomized_trial,Pragmatic cluster randomized trial,causal_policy
regression_discontinuity,Regression discontinuity designs,causal_policy
risk_adjusted_antimicrobial_use_benchmarking,Risk-adjusted antimicrobial-use benchmarking,causal_policy
screening_priority_risk_model,Screening-priority risk modeling,causal_policy
statistical_data_fusion_estimation_and_bridging,Statistical data fusion and bridged estimation,causal_policy
statistical_data_fusion_for_tail_probability_prediction,Statistical data fusion for tail-probability prediction,causal_policy
statistical_data_fusion_estimation,Statistical data-fusion estimation,causal_policy
stepped_wedge_time_series_effectiveness,Stepped-wedge and time-series effectiveness evaluation,causal_policy
stepped_wedge_time_series_evaluation,Stepped-wedge time-series evaluation,causal_policy
supervised_reemergence_detection,Supervised detection of disease reemergence,causal_policy
supervised_ml_event_detection,Supervised machine-learning event detection,causal_policy
surrogate_endpoint_causal_roadmap,Surrogate-endpoint causal roadmap,causal_policy
surrogate_endpoint_transport_fusion,Surrogate-endpoint transport and data fusion,causal_policy
synthetic_control,Synthetic control methods,causal_policy
target_trial_emulation,Target-trial emulation,causal_policy
targeted_learning_tmle,Targeted learning and targeted maximum-likelihood estimation,causal_policy
test_negative_with_population_controls,Test-negative design with population controls,causal_policy
causal_cross_design_triangulation,Causal triangulation across study designs,evidence_synthesis
causal_triangulation_across_study_designs,Causal triangulation across study designs,evidence_synthesis
triangulation_cross_system,Cross-system triangulation,evidence_synthesis
data_source_inventory_review,Data-source inventory review,evidence_synthesis
geometric_delaunay_triangulation_imaging,Delaunay-triangulation imaging features,evidence_synthesis
denominator_population_sensitivity,Denominator and population-at-risk sensitivity,evidence_synthesis
hierarchical_borrowing,Hierarchical and dynamic borrowing,evidence_synthesis
jurisdictional_scan_thematic_synthesis,Jurisdictional scan and thematic synthesis,evidence_synthesis
machine_learning_literature_synthesis,Machine-learning literature synthesis,evidence_synthesis
mixed_methods_triangulation_protocol,Mixed-methods triangulation protocol,evidence_synthesis
modelled_observed_triangulation,Modelled-versus-observed evidence triangulation,evidence_synthesis
multiple_model_stability_triangulation,Multiple-model stability triangulation,evidence_synthesis
narrative_literature_review,Narrative literature review,evidence_synthesis
narrative_review_ai_ml_infectious_disease_methods,Narrative review of AI/ML infectious-disease methods,evidence_synthesis
evidence_robustness_methods,Other evidence-synthesis and robustness methods,evidence_synthesis
outcome_definition_sensitivity,Outcome-definition sensitivity analysis,evidence_synthesis
preparedness_and_intelligence_synthesis,Preparedness and public-health-intelligence synthesis,evidence_synthesis
qualitative_ethnographic_triangulation,Qualitative ethnographic triangulation,evidence_synthesis
risk_estimation_without_exposure_denominators,Risk estimation without exposure denominators,evidence_synthesis
severity_estimation_with_exposure_denominators,Severity estimation with exposure denominators,evidence_synthesis
spatial_epidemiology_methods_review,Spatial epidemiology methods review,evidence_synthesis
spatial_epidemiology_narrative_review,Spatial-epidemiology narrative review,evidence_synthesis
specification_curve_multiverse,Specification-curve and multiverse analysis,evidence_synthesis
systematic_review_meta_analysis,Systematic-review and meta-analysis methods,evidence_synthesis
transportability_generalizability,Transportability and generalizability methods,evidence_synthesis
vaccine_acceptance_trust_review,Trust-focused vaccine acceptance review,evidence_synthesis
ai_ml_infectious_disease_diagnosis_forecasting_reviews,AI/ML infectious-disease diagnosis and forecasting reviews,forecasting_dynamics
changepoint_detection,Change-point detection,forecasting_dynamics
early_warning_signals,Early-warning signals,forecasting_dynamics
ensemble_forecasting,Ensemble forecasting,forecasting_dynamics
forecast_calibration_evaluation,Forecast calibration and evaluation,forecasting_dynamics
impact_evaluation_microsimulation_forecasting,Integrated impact evaluation with microsimulation forecasting,forecasting_dynamics
integrated_retrospective_impact_evaluation_and_forecasting,Integrated retrospective impact evaluation and forecasting,forecasting_dynamics
machine_learning_forecasting,Machine-learning forecasting,forecasting_dynamics
mechanistic_statistical_hybrids,Mechanistic-statistical hybrid models,forecasting_dynamics
multisource_ml_epidemic_forecasting,Multi-source machine-learning epidemic forecasting,forecasting_dynamics
multisource_ml_hotspot_prediction,Multi-source machine-learning hotspot prediction,forecasting_dynamics
forecasting_dynamics_models,Other infectious-disease forecasting and dynamics models,forecasting_dynamics
outbreak_anomaly_detection,Outbreak and anomaly detection,forecasting_dynamics
renewal_reproduction_number_models,Renewal models and reproduction-number estimation,forecasting_dynamics
time_series_forecasting,Statistical time-series forecasting,forecasting_dynamics
agent_based_models,Agent-based and individual-based models,simulation_methods
estimator_operating_characteristics,Estimator operating-characteristic simulation studies,simulation_methods
mechanistic_compartmental_models,Mechanistic compartmental transmission models,simulation_methods
simulation_methodological_evaluation,Other simulation-based methodological evaluation,simulation_methods
simulation_method_comparison,Simulation-based method comparison and benchmarking,simulation_methods
structural_bias_sensitivity_simulation,Structural-bias and quantitative-bias simulation,simulation_methods
synthetic_data_benchmarking,Synthetic-data and benchmark designs,simulation_methods
bayesian_spatiotemporal_models,Bayesian spatiotemporal disease models,spatial_transmission
contact_network_models,Contact-network transmission models,spatial_transmission
descriptive_spatial_clustering,Descriptive spatial and space-time clustering,spatial_transmission
digital_twin_multihost_risk_model,Digital-twin multihost risk modeling,spatial_transmission
ecological_niche_species_distribution,Ecological-niche and species-distribution models,spatial_transmission
endemic_epidemic_models,Endemic-epidemic spatiotemporal models,spatial_transmission
genomic_epidemiology_transmission,Genomic epidemiology and transmission reconstruction,spatial_transmission
geostatistical_multisource_risk_mapping,Geostatistical multi-source risk mapping,spatial_transmission
gravity_radiation_mobility_models,"Gravity, radiation, and mobility models",spatial_transmission
metapopulation_models,Metapopulation transmission models,spatial_transmission
mobility_data_fusion_modeling,Mobility data-fusion modeling,spatial_transmission
spatial_transmission_models,Other spatial-transmission models,spatial_transmission
phylogeography_genomic_diffusion,Phylogeography and genomic diffusion,spatial_transmission
self_exciting_point_processes,Self-exciting spatiotemporal point processes,spatial_transmission
border_discontinuity_designs,Spatial border-discontinuity designs,spatial_transmission
spatial_diffusion_models,Spatial diffusion and spread models,spatial_transmission
spatial_regression_geostatistics,Spatial regression and geostatistical models,spatial_transmission
capture_recapture,Capture-recapture estimation,surveillance_measurement
coverage_denominator_correction,Coverage and denominator correction,surveillance_measurement
denominator_data_validation_and_sampling,Denominator data validation and sampling,surveillance_measurement
denominator_adjusted_surveillance_positivity,Denominator-adjusted surveillance positivity analysis,surveillance_measurement
diagnostic_yield_with_sample_availability,Diagnostic yield with sample availability,surveillance_measurement
diagnostic_accuracy_calibration,Diagnostic-accuracy and test-calibration methods,surveillance_measurement
digital_surveillance_information_system,Digital surveillance information system,surveillance_measurement
digital_surveillance_systems_and_networks,Digital surveillance systems and network-based monitoring,surveillance_measurement
dynamic_population_denominator_correction,Dynamic population-denominator correction,surveillance_measurement
hai_rate_denominator_choice,HAI rate denominator choice,surveillance_measurement
incidence_sensitivity_to_denominator_source,Incidence sensitivity to denominator source,surveillance_measurement
integrated_vaccine_safety_surveillance,Integrated vaccine-safety surveillance,surveillance_measurement
latent_class_models,Latent-class measurement models,surveillance_measurement
measurement_error_models,Measurement-error and misclassification models,surveillance_measurement
mixed_methods_measurement_triangulation,Mixed-methods and measurement triangulation,surveillance_measurement
multi_instrument_measurement_comparison,Multi-instrument measurement comparison,surveillance_measurement
multiple_system_estimation,Multiple-system estimation,surveillance_measurement
objective_clinical_surveillance_vs_administrative_coding,Objective-clinical versus administrative surveillance,surveillance_measurement
observation_process_models,Observation-process and detection models,surveillance_measurement
surveillance_measurement_designs,Other surveillance-measurement designs,surveillance_measurement
passive_safety_surveillance_rate_denominators,Passive vaccine-safety rate estimation with incomplete denominators,surveillance_measurement
population_based_incidence_surveillance,Population-based incidence surveillance,surveillance_measurement
preferential_sampling,Preferential-sampling models,surveillance_measurement
public_health_data_triangulation,Public-health data triangulation,surveillance_measurement
real_time_network_surveillance,Real-time network surveillance,surveillance_measurement
reporting_delay_nowcasting,Reporting-delay adjustment and nowcasting,surveillance_measurement
risk_adjusted_benchmark_metric_modeling,Risk-adjusted benchmark metric modeling,surveillance_measurement
sentinel_surveillance_calibration,Sentinel-surveillance calibration,surveillance_measurement
syndromic_surveillance,Syndromic-surveillance methods,surveillance_measurement
travel_volume_denominator_risk_estimation,Travel-volume denominator risk estimation,surveillance_measurement
